time,SBERP,LKOH,GAZP,FIVE,YNDX,SMLT,SVAV,NVDA,VTBR,TRMK,GMKN,FEES,AFLT,FLOT
2021-08-24 07:00:00+00:00,303.79,6488.0,298.7,2518.5,5159.0,3350.0,202.5,,0.051065,105.0,24066.0,0.19916,68.28,86.49
2021-08-25 07:00:00+00:00,303.7,6431.0,296.7,2482.5,5129.6,3269.2,202.0,,0.051085,106.16,23932.0,0.19846,68.22,86.83
2021-08-26 07:00:00+00:00,302.64,6343.5,294.34,2444.0,5219.0,3387.8,204.5,,0.050045,106.0,23712.0,0.1966,68.06,86.75
2021-08-27 07:00:00+00:00,307.47,6429.5,299.66,2473.0,5308.0,3399.2,203.5,,0.050805,108.5,23986.0,0.19628,68.64,87.66
2021-08-30 07:00:00+00:00,308.88,6439.0,305.17,2465.0,5352.4,3394.8,207.5,,0.05215,115.7,24266.0,0.1977,69.28,87.5
2021-08-31 07:00:00+00:00,308.65,6283.5,305.65,2420.5,5615.0,3400.0,223.5,,0.05269,116.4,24032.0,0.1973,69.32,88.0
2021-09-01 07:00:00+00:00,313.23,6334.0,312.89,2463.5,5699.6,3500.0,235.0,,0.0532,116.4,24228.0,0.19596,69.48,87.54
2021-09-02 07:00:00+00:00,309.3,6350.5,312.3,2419.5,5636.4,3891.6,229.0,,0.052445,115.8,23880.0,0.1987,69.42,87.7
2021-09-03 07:00:00+00:00,309.98,6330.0,317.94,2395.5,5732.6,3900.0,236.0,,0.0524,118.7,24442.0,0.20204,69.4,87.37
2021-09-06 07:00:00+00:00,310.32,6325.0,328.93,2415.5,5804.0,4178.8,230.0,,0.05409,124.6,24658.0,0.20114,68.8,87.3
2021-09-07 07:00:00+00:00,307.96,6280.0,327.73,2393.0,5690.8,3900.2,231.0,,0.05364,122.62,24376.0,0.1977,68.16,87.05
2021-09-08 07:00:00+00:00,313.29,6341.5,327.6,2394.5,5712.6,4076.6,232.0,,0.053785,122.1,24260.0,0.19984,67.44,86.9
2021-09-09 07:00:00+00:00,309.28,6269.5,324.57,2355.0,5735.0,4380.0,234.0,,0.05239,123.08,23980.0,0.19574,66.74,86.5
2021-09-10 07:00:00+00:00,309.83,6300.0,326.43,2323.5,5868.4,4683.8,230.5,,0.05195,123.38,24508.0,0.19748,66.98,86.26
2021-09-13 07:00:00+00:00,309.97,6420.5,332.75,2355.5,5939.2,4839.8,232.5,,0.05255,121.8,24492.0,0.19728,67.38,86.25
2021-09-14 07:00:00+00:00,310.22,6570.0,338.98,2314.0,5973.0,4764.2,231.5,,0.051495,120.14,24044.0,0.19696,66.98,86.08
2021-09-15 07:00:00+00:00,316.35,6724.5,343.34,2317.5,5892.0,4929.0,230.0,,0.05212,117.08,23978.0,0.19564,67.02,86.3
2021-09-16 07:00:00+00:00,309.8,6664.0,338.5,2339.0,5872.0,5295.0,225.0,,0.051635,98.82,23484.0,0.1962,66.64,86.53
2021-09-17 07:00:00+00:00,311.52,6600.5,334.5,2329.5,5828.4,5716.4,225.5,,0.0514,95.1,23256.0,0.19038,66.8,86.39
2021-09-20 07:00:00+00:00,308.3,6551.0,325.7,2291.0,5785.0,5481.0,214.5,,0.04998,89.36,22510.0,0.1882,66.16,85.21
2021-09-21 07:00:00+00:00,306.97,6605.0,335.3,2323.5,5771.8,5650.0,217.5,,0.050065,90.4,22662.0,0.19022,67.12,85.45
2021-09-22 07:00:00+00:00,310.01,6702.0,340.59,2316.0,5755.0,5639.2,215.5,,0.050815,96.6,23150.0,0.18998,67.28,85.68
2021-09-23 07:00:00+00:00,310.38,6801.0,343.47,2346.0,5885.0,5581.4,218.0,,0.050795,93.68,23096.0,0.19,67.1,85.39
2021-09-24 07:00:00+00:00,308.77,6825.0,344.29,2373.0,5850.4,5262.0,221.0,,0.050925,94.0,22856.0,0.18962,69.1,84.75
